X,Y,OBJECTID,SWID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,REG_ID,STATUSDATE,OWNER,CLOSE_DATE,PERMIT_NO
-118.029900454999975,34.026449337000031,1001,6857,PUENTE HILLS MATERIALS RECOVERY FACILITY,2808 S. WORKMAN MILL ROAD,WHITTIER,CA,90605,NOT AVAILABLE,(562) 908-4288,TRANSFER,OPEN,LOS ANGELES,06037,USA,34.02644934,-118.02990045,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,COUNTY OF LOS ANGELES SANITATION DIST,NOT AVAILABLE,19-AA-1043
-119.067895396,37.906197248000069,1002,6858,PUMICE VALLEY TRANSFER STATION (LVTS),200 DROSS ROAD,LEE VINING,CA,93517,NOT AVAILABLE,(760) 932-5252,TRANSFER,OPEN,MONO,06051,USA,37.90619725,-119.0678954,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,CITY OF LOS ANGELES DEPT. WATER & POWER,NOT AVAILABLE,26-AA-0017
-72.795014547999983,43.241941198000056,1003,502711,LONDONDERRY TRANSFER STATION,NOT AVAILABLE,LONDONDERRY,VT,05148,NOT AVAILABLE,(802) 824-3356,TRANSFER,OPEN,WINDHAM,50025,USA,43.2419412,-72.79501455,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",https://anrweb.vt.gov/DEC/ERT/DataDump.aspx,2018-03-14T00:00:00.000Z,IMAGERY/OTHER,2018-03-14T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,WH391
-105.409705276999944,48.777031499000039,1004,301500,DANIELS COUNTY LANDFILL,713 C STREET,SCOBEY,MT,59263,NOT AVAILABLE,NOT AVAILABLE,MUNICIPAL,OPEN,DANIELS,30019,USA,48.7770315,-105.40970528,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,2018-03-28T00:00:00.000Z,IMAGERY/OTHER,2018-03-28T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,299
-112.790744837999966,46.060319861000039,1005,301484,ANACONDA-DEER LODGE COUNTY,1200 EAST ARBITER ROAD,ANACONDA,MT,59711,NOT AVAILABLE,(406) 563-4010,C&D,OPEN,DEER LODGE,30023,USA,46.06031986,-112.79074484,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,2018-03-28T00:00:00.000Z,IMAGERY/OTHER,2018-03-28T00:00:00.000Z,http://www.anacondadeerlodge.mt.gov/departments/landfill.aspx,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,373
-120.580232695999953,35.042316700000065,1006,6859,R&R ROLLOFF LLC,840 ALLEY OOP,ARROYO GRANDE,CA,93420,NOT AVAILABLE,(805) 528-8440,TRANSFER,OPEN,SAN LUIS OBISPO,06079,USA,35.0423167,-120.5802327,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,RUTH & JACK BRACKET,NOT AVAILABLE,40-AA-0046
-117.996052890999977,33.713938084000063,1007,6860,"RAINBOW TRANSFER/RECYCLING COMPANY, INC.",17121 NICHOLS STREET,HUNTINGTON BEACH,CA,92647,1026,(714) 847-3581,TRANSFER,OPEN,ORANGE,06059,USA,33.71393808,-117.99605289,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,"JBST PROPERTIES, LLC",NOT AVAILABLE,30-AB-0099
-116.87610243499995,33.045238920000024,1008,6861,RAMONA MRF AND TRANSFER STATION,324 MAPLE STREET,RAMONA,CA,92065,NOT AVAILABLE,(760) 728-9706,TRANSFER,OPEN,SAN DIEGO,06073,USA,33.04523892,-116.87610243,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,RAMONA DISPOSAL SERVICES,NOT AVAILABLE,37-AA-0925
-120.830335704999982,39.558942205000044,1009,6862,RAMSHORN TRANSFER STATION,COUNTY RD 493 & RAMSHORN RD,DOWNIEVILLE,CA,95936,NOT AVAILABLE,(530) 289-3201,TRANSFER,OPEN,SIERRA,06091,USA,39.5589422,-120.83033571,562111,"WASTE TRANSFER STATIONS, NONHAZARDOUS SOLID",http://www.calrecycle.ca.gov/swfacilities/directory/Search.aspx,2018-03-08T00:00:00.000Z,IMAGERY/OTHER,2018-03-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,US FOREST SVC-CAMPTONVILLE,NOT AVAILABLE,46-AA-0003
-104.181979395,46.275118710000072,1010,301498,CORAL CREEK LANDFILL,721 CORAL CREEK ROAD,BAKER,MT,59313,NOT AVAILABLE,(406) 778-2734,MUNICIPAL,OPEN,FALLON,30025,USA,46.27511871,-104.1819794,562212,"SOLID WASTE LANDFILLS, NONHAZARDOUS",http://deq.mt.gov/solidwaste/default.mcpx,2018-03-28T00:00:00.000Z,IMAGERY/OTHER,2018-03-28T00:00:00.000Z,http://www.falloncounty.net/landfill/landfill.html,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,328
